Angola,"35,588,987",Luanda,"Portuguese (official), Kikongo, Kimbundu, Umbundu",Angolan Kwanza (AOA),Iona National Park,"Muamba de Galinha | A chicken stew flavored with palm oil and okra, sometimes containing palm nuts.","Funje | A smooth, polenta-like side dish made from cassava flour.","Kizaka | A type of leafy green, similar to spinach, often cooked in oil and garlic."
Argentina,"46,234,830",Buenos Aires,Spanish (official),Argentine Peso (ARS),"Tierra del Fuego, Southernmost tip","Asado | A barbecue technique involving a range of meats, most notably beef, cooked on a grill called a 'parrilla' or an open fire.","Empanadas | Crescent-shaped pastries filled with meats, cheese, or vegetables.",Mate | A traditional caffeine-rich infused drink made from the leaves of the yerba mate plant.
Australia,"25,978,935",Canberra,English (official),Australian Dollar (AUD),"Twelve Apostles, Victoria","Vegemite | A thick, dark brown spread made from leftover brewers' yeast extract with various vegetable and spice additives.","Lamingtons | Square-shaped sponge cake, coated in a layer of chocolate icing and desiccated coconut.","Pavlova | A meringue-based dessert named after the Russian ballerina Anna Pavlova, with a crisp crust and soft, light inside, usually topped with fruit and whipped cream."
Austria,"9,042,528",Vienna,German (official),Euro (EUR),"Fortress Hohensalzburg, Salzburg",Wiener Schnitzel | A breaded and fried veal cutlet that is a national dish.,"Sachertorte | A dense chocolate cake with a thin layer of apricot jam, traditionally served with whipped cream.",Apfelstrudel | A strudel pastry jacket with an apple filling inside.
Azerbaijan,"10,175,016",Baku,Azerbaijani (official),Azerbaijani Manat (AZN),Flame Towers,"Plov | A rice pilaf accompanied by various herbs and seasonings, sometimes with meats and dried fruits.","Dolma | Grape leaves stuffed with minced meat and rice, often seasoned with mint and cinnamon.",Baklava | Layers of filo pastry filled with nuts and sweetened with syrup or honey.
Bangladesh,"171,186,372",Dhaka,Bengali (official),Bangladeshi Taka (BDT),"Jatiyo Smriti Soudho, Savar","Hilsa Fish Curry | A popular fish curry made with the national fish, hilsa, prepared with mustard seeds and spices.","Pitha | A blanket term for cakes or dumplings made from rice flour or wheat flour, which can be sweet or savory.","Falooda | A cold dessert with noodles, it includes ingredients such as rose syrup, vermicelli, and sweet basil seeds."
Belgium,"11,669,446",Brussels,"Dutch, French, German (all official)",Euro (EUR),"Gravensteen Castle, Ghent","Belgian Waffles | Often larger, lighter, and crispier, and have larger squares and deeper pockets than American waffles.",Moules-frites | Mussels cooked or steamed with onions and celery served with fries.,"Belgian Chocolate | Renowned globally, often used in pralines, which are chocolate pieces filled with a soft fondant center."
Bhutan,"782,455",Thimphu,Dzongkha (official),Bhutanese Ngultrum (BTN); Indian Rupee (INR) also accepted,"Tashichho Dzong, Thimphu",Ema Datshi | A spicy mix of chillies and the delicious local cheese known as datshi.,Red Rice | A nutty-flavored rice that is the staple with most meals.,"Suja | Butter tea which includes tea leaves, yak butter, and salt."
Brazil,"215,313,498",Brasília,Portuguese (official),Brazilian Real (BRL),"Amazon Rainforest, Multiple States","Feijoada | A hearty stew with black beans and a variety of pork and beef meats, which is traditionally served over rice with orange slices, collard greens, and farofa.","Pão de Queijo | A popular snack and breakfast food, it's a small, baked, cheese-flavored roll.","Caipirinha | The national cocktail, made with cachaça (sugarcane hard liquor), sugar, and lime."
Cameroon,"27,914,536",Yaoundé,"English, French (both official)",Central African CFA franc (XAF),Dja Faunal Reserve,"Ndolé | A stew consisting of stewed nuts, ndoleh (bitter leaves), and fish or beef.",Fufu and Njama Njama | A dish consisting of pounded cassava (fufu) served with a sauce made from njama njama (huckleberry leaves) and palm oil.,"Kati Kati | Grilled chicken, seasoned and often enjoyed with a side of plantains or spicy sauce."
Canada,"38,929,902",Ottawa,"English, French (both official)",Canadian Dollar (CAD),"Old Quebec, Quebec",Poutine | A dish consisting of fries topped with cheese curds and gravy.,"Butter Tarts | Small pastries filled with a butter, sugar, and egg filling.","Caesar | A cocktail containing vodka, clamato juice, hot sauce, and Worcestershire sauce, typically served with ice in a large, celery salt-rimmed glass."
